"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"6779",201,16.00159228,16,16,12.34379057,16.41005859,11.02357103,15.70614364,68,201,16,14,16,0.893045857,0.957104665,14.30964515,0.513494971,1,3,0.875,4.777988555,9.922279665,1.292352792,7972.999991,1033.000008,8.540386766,0.089508002,1,40.74266746,9911.611607,24141.91071,"R3+TPO","TPO"
"6888",127,12.71941192,13,13,6.90337029,13.10414392,5.715439531,12.31101014,54,127,12,10,12,0.827920174,0.939474583,15.37030185,0.592615032,1.083333333,1,0.769230769,9.062353732,2.01315893,1.312571362,4568.000002,252.0000019,13.42456488,0.166073547,1,65.54746437,2714.514423,1283.274038,"R2+TPO","TPO"
"7007",505,25.36359797,27,27,22.55730711,27.42729435,15.65182828,23.56222907,108,505,26,24,24,0.693869539,0.8590796,12.64861986,0.483033991,1.125,2,0.888888889,23.18499379,6.702566501,7.23840681,27799,9617.000003,37.7939383,0.28125,1,104.384529,53323.0625,7065.178571,"R4+TPO","TPO"
"7074",152,13.91512031,14,14,10.98584507,14.42382035,9.185320886,13.42950505,60,152,14,12,14,0.836105081,0.931064359,13.90071473,0.509830843,1,4,0.857142857,10.21799972,1.77195109,7.928363617,4704.999993,628.0000005,10.85895064,0.107075767,1,38.4404241,5426,2906,"R3+TPO","TPO"
"7482",191,15.59846473,21,21,21.11069945,21.73177747,8.496720716,12.0718868,75,191,12,6,13,0.402484093,0.555494681,3.530418028,0.362373109,1.615384615,4,0.285714286,49.50891833,28.49943574,27.9310242,4327.999999,353.9999969,7.561733432,0.06558401,1,28.2041394,2359.629808,2443.091346,"R2+TPO","TPO"
"7530",141,13.40215783,13,13,8.026570694,13.38995071,6.742554053,13.38021034,56,141,14,12,13,0.840029237,0.999272561,17.74912038,0.553250456,1,1,0.923076923,8.270973664,2.253070663,1.728971728,6259.000001,459.000005,22.16045858,0.171548117,1,71.51208549,4081.490385,2359.466019,"R2+TPO","TPO"
"7534",150,13.82327033,15,15,10.32348682,14.19376458,8.877466346,13.56525555,60,150,14,12,13,0.859929063,0.955719356,11.61955988,0.491032548,1.153846154,4,0.8,12.12595812,10.87679606,15.65149966,3540.000025,515.9999943,7.70975346,0.087198516,1,30.40740845,5493.943548,2403.333333,"R3+TPO","TPO"
"7582",201,16.00159228,17,17,11.90798019,17.16926878,11.26403458,15.0766267,68,201,14,12,15,0.945923187,0.878116994,10.74376525,0.468161982,1.133333333,4,0.705882353,4.783559329,9.566027811,8.705069377,6687.00002,1344.999988,16.85163848,0.134089393,1,52.43016267,7335.482143,1162.892857,"R4+TPO","TPO"
"7708",282,18.95351336,19,19,16.98160732,19.4533435,14.51535434,18.48344788,78,282,18,18,18,0.854769167,0.950142472,19.56722831,0.451517956,1.055555556,1,0.947368421,7.475248312,4.091043909,3.726687948,13305,5809.000004,28.3385175,0.180051813,1,61.12403684,8344.94697,2115.549242,"R4+TPO","TPO"
"7821",144,13.54398355,14,14,8.836584934,13.96696784,7.182762195,13.2194283,60,144,14,12,13,0.812843678,0.946478037,11.82844217,0.571057448,1.076923077,1,0.857142857,12.0256527,6.188999103,4.7639115,4308,299.9999976,17.62080763,0.172093023,1,58.7234241,6258.069444,2503.666667,"R4+TPO","TPO"
"7853",166,14.5418351,15,15,10.27691687,15.0205787,6.854952778,14.06533024,62,166,14,14,14,0.667024251,0.936404017,15.84539945,0.486896496,1.071428571,2,0.933333333,20.78049712,9.386968367,4.750169213,6577.000006,1951.999994,24.13882182,0.187648456,1,75.23670491,3459.37963,2394.541667,"R2+TPO","TPO"
"7958",171,14.7592139,14,14,11.00862844,15.00349152,9.466928777,14.54329387,60,171,14,14,14,0.859955336,0.969327296,17.27660326,0.53280984,1,1,1,8.028225067,4.118108495,2.514380522,6344.000053,669.0000381,23.1926841,0.146529563,1,55.85065301,5982.716346,3438.870192,"R3+TPO","TPO"
"8165",227,17.00505732,18,18,11.8798869,18.27776542,10.93489357,16.02653663,72,227,16,12,16,0.920454349,0.876832384,10.38023575,0.49067835,1.125,1,0.666666667,2.667690965,2.475340491,2.477983612,6778.999938,9976.000007,25.54804973,0.244444444,1,92.89927566,4013.651786,1353.089286,"R4+TPO","TPO"
"8202",284,19.02060566,20,20,13.84885618,20.4800494,12.83708135,18.18313216,82,284,18,14,19,0.926941632,0.887846108,8.677448591,0.570454823,1.052631579,4,0.7,4.536331262,10.56706759,7.354041059,8722,4547,9.696995455,0.14678326,1,53.40235849,8301.5,1493.125,"R4+TPO","TPO"
"8222",149,13.77711571,14,14,8.907188289,13.98904709,6.862392428,13.5719268,58,149,14,12,13,0.770433071,0.970182366,16.14632043,0.481283353,1.076923077,1,0.857142857,12.90557885,1.806674331,3.956100305,7612.999986,390.0000012,36.53800534,0.206670637,1,79.45205347,3389.451923,2275.552885,"R2+TPO","TPO"
"8250",124,12.56828482,13,13,7.79277345,13.75727059,3.192072753,11.59217429,54,124,12,10,12,0.409619601,0.842621668,9.13982285,0.265647628,1.083333333,2,0.769230769,36.86961324,13.59204584,9.833431962,6694.000009,299.0000014,75.92999181,0.23819978,1,123.9492032,2125.32,10006.48,"R2+TPO","TPO"
"8303",123,12.51750367,13,13,8.238255435,13.56325376,6.31868369,11.69315181,54,123,12,10,12,0.766992932,0.862119961,8.856584833,0.666928753,1.083333333,4,0.769230769,18.5079015,5.852291889,6.927222407,3181.999997,198.9999988,5.558996873,0.087116564,1,38.91578553,1137.044643,418.9821429,"R1+TPO","TPO"
"8555",154,14.00636798,16,16,13.13510277,16.29878977,6.972282202,12.03451144,60,154,14,12,12,0.530812916,0.738368407,7.096832717,0.476550774,1.333333333,2,0.75,34.98776257,5.440243345,8.700381367,5067.000001,725.9999897,16.39746806,0.122763726,1,45.47158911,3601.166667,2567.5,"R2+TPO","TPO"
"8571",221,16.77881588,20,20,15.25394339,21.38097696,10.76282052,14.16535305,76,221,14,6,15,0.705576273,0.662521319,4.481568983,0.3715826,1.333333333,4,0.3,22.81613365,17.96580448,18.36133764,5901,7794,23.17252059,0.208036293,1,66.74006408,7587.178571,1145.035714,"R4+TPO","TPO"
"8589",799,31.90351697,36,36,31.53838723,34.37629225,27.75138725,30.07537723,140,4,30,28,32,0.879924108,0.874887175,14.22699666,0.522316356,1.125,1,0.777777778,6.681218727,2.676582045,0.824029442,39998,12585,23.04156333,0.188405797,2,73.25334068,38072.3125,7493.053977,"R4+TPO","TPO"
"8615",155,14.05176961,14,14,8.928172872,14.72914281,7.774770819,13.40509285,60,155,14,12,14,0.870813203,0.910106788,13.31174266,0.548231279,1,1,0.857142857,11.04102017,2.497297348,4.157157503,5756.99999,169.0000079,10.44909572,0.100728155,1,42.44955677,7754.267857,5421.071429,"R3+TPO","TPO"
"8794",123,12.51750367,13,13,8.313970317,12.97668711,6.927677089,12.06326822,54,123,12,10,12,0.833257376,0.929610779,13.01623894,0.594911667,1.083333333,1,0.769230769,9.855129249,6.415189549,2.961393544,2894.000004,491.9999993,10.65634273,0.124174373,1,42.44505144,2239.334821,1181.526786,"R2+TPO","TPO"
"8869",140,13.35454788,13,13,10.8378562,13.99046703,8.353041436,12.80936742,58,140,14,12,13,0.770728203,0.915578257,11.81489211,0.60338069,1,1,0.923076923,11.6452334,3.169726672,2.766541515,3325,314,4.202217493,0.05801622,1,24.40388372,4612.36,1934.84,"R2+TPO","TPO"
"9087",143,13.4968739,14,14,9.713517067,13.70830665,8.85287426,13.35515597,58,143,14,12,13,0.911397406,0.974238198,12.59897365,0.556013386,1.076923077,3,0.857142857,4.364884963,8.595133238,5.260607941,4631.99999,361,15.26932788,0.12605042,1,47.69976768,4993.925,2755.425,"R3+TPO","TPO"
"9272",135,13.11390568,13,13,10.00990194,13.76429829,7.756213402,12.49161714,54,135,12,12,12,0.774854084,0.907537521,14.28150376,0.549286455,1.083333333,1,0.923076923,13.13487362,5.896211291,3.376891682,3964.000006,348.9999971,12.17197724,0.123966942,1,49.01290331,2618.65625,2648.163158,"R2+TPO","TPO"
"9277",222,16.81673416,17,17,11.66887367,17.22904155,11.01672105,16.38943504,70,222,16,14,16,0.944111776,0.95126795,20.54847284,0.5441248,1.0625,1,0.823529412,2.075891478,3.498251593,1.30124447,10004.99994,435.9999995,28.18348139,0.226578073,1,86.03007632,4537.767857,895.2857143,"R4+TPO","TPO"
"9478",152,13.91512031,14,14,10.08719135,14.48774437,9.270774347,13.33678395,58,152,14,12,13,0.919063992,0.920556272,16.01634786,0.440592333,1.076923077,3,0.857142857,7.409099649,9.933248278,1.331572093,7489.999998,604.9999747,24.89938551,0.175205566,1,63.67740795,6419.821429,1118,"R4+TPO","TPO"
"9519",147,13.68433946,13,13,8.513853888,13.94506926,7.772992543,13.47048499,56,147,14,12,13,0.91298167,0.965967593,15.01460203,0.52063609,1,3,0.923076923,7.628023865,8.114444943,5.089326122,7486,206,21.92270385,0.175764847,1,67.01905824,7653.298077,4346.879808,"R3+TPO","TPO"
"9596",123,12.51750367,12,12,8.036027865,12.7884463,7.185429616,12.23838774,52,123,12,10,12,0.894151904,0.95698785,15.12743591,0.549804793,1,1,0.833333333,5.081502627,3.667777346,2.014229577,4244.999992,208.0000019,17.53200482,0.123609394,1,51.20840891,2188.851852,1211.222222,"R2+TPO","TPO"
"9690",141,13.40215783,13,13,9.790182606,13.61330517,8.207604917,13.21564892,56,141,14,12,13,0.838350544,0.970789147,14.35968521,0.533782609,1,1,0.923076923,7.291707743,6.267106666,3.599147728,4083.000005,405.9999964,10.62232024,0.108723135,1,40.32923706,1730.569444,5279.791667,"R2+TPO","TPO"
"9872",203,16.08100513,17,17,13.27620398,17.45944189,10.28136351,14.82519786,68,203,16,16,15,0.774420423,0.849122094,11.79988337,0.515599443,1.133333333,2,0.941176471,16.32018838,5.657032457,2.892381713,8399,1306,29.75472286,0.177533893,1,60.71101121,14498.20313,10378.65625,"R3+TPO","TPO"
"9899",129,12.81917354,13,13,9.071721695,13.66378961,7.22826359,12.03401301,54,129,12,10,12,0.796790712,0.880722944,11.4813944,0.566706387,1.083333333,3,0.769230769,12.58386492,9.779873312,4.901739921,2863.999995,255.9999981,6.12559544,0.095765472,1,32.93584348,2272.734375,1142.65625,"R2+TPO","TPO"
"10005",134,13.06524538,13,13,9.460995418,13.65761685,8.210574654,12.56025437,45,134,12,10,12,0.867834122,0.919651979,7.893443629,0.578061783,1.083333333,4,0.769230769,9.699207041,7.618437238,5.628233512,3401,1645,12.59721878,0.132275132,1,49.58531085,2165.7875,429.8125,"R1+TPO","TPO"
"10080",159,14.23192786,14,14,10.26237252,14.30126069,7.59399057,14.14700259,60,159,14,12,14,0.739983913,0.989213672,16.82181914,0.534319848,1,4,0.857142857,11.75235081,5.952879882,6.992790284,4730.999981,348,15.30038137,0.12596401,1,47.67369857,5181.152778,2414.333333,"R3+TPO","TPO"
"10149",134,13.06524538,13,13,8.009454686,13.37463977,5.713669148,12.75628989,56,134,14,12,13,0.713365563,0.953766988,14.684859,0.513101366,1,3,0.923076923,16.73153463,9.202894895,4.32461167,4596.999994,488,28.94202594,0.225851286,1,69.97352234,1204.490741,1180.712963,"R2+TPO","TPO"
"10298",160,14.2766122,15,15,10.04332132,15.54118414,8.480326086,13.10158752,60,160,14,12,13,0.844374666,0.843023762,11.5948522,0.518368664,1.153846154,1,0.8,10.46307796,6.977467857,4.231465763,5729.000014,522.0000095,16.1119181,0.159456119,1,54.92220884,7475.433036,2847.575893,"R4+TPO","TPO"
"10462",125,12.61886163,12,12,7.219992442,12.76914387,6.865652034,12.48477748,52,125,12,12,12,0.95092233,0.977730191,15.01957796,0.573481064,1,1,1,2.424187752,0.771646408,2.092791225,3367.999996,591.9999995,9.312928297,0.125979506,1,45.86725612,2101.472222,2123.055556,"R2+TPO","TPO"
"10733",133,13.01640317,13,13,8.575656385,13.04515851,7.38219967,12.97519103,56,133,14,12,13,0.860832027,0.994636517,14.41615684,0.543440722,1,1,0.923076923,7.757765524,5.014186032,3.660659852,3657.000011,394.0000126,18.08152602,0.139841689,1,51.4562659,3398.888889,1612.703704,"R2+TPO","TPO"
"10769",175,14.93083843,15,15,12.09774645,15.35212927,10.08774399,14.78351303,62,175,14,12,14,0.83385315,0.962961735,10.72822366,0.583289659,1.071428571,4,0.8,10.89308594,11.37880554,9.869468919,4764,493,7.838269476,0.084028223,1,31.02751906,4962.65625,2973.8125,"R3+TPO","TPO"
