"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"1713",181,15.18463857,15,15,11.96778206,15.6833459,10.70293607,14.76538333,62,181,14,14,14,0.894312415,0.941468958,14.89773782,0.43218259,1.071428571,1,0.933333333,6.360237072,3.253962903,2.288347723,6415.999989,5551.000009,27.26455745,0.217847769,1,79.58205821,5841.464286,450.8571429,"R4","NoTPO"
"1714",222,16.81673416,17,17,13.44769326,17.4191286,10.10092196,16.32401543,70,222,16,14,16,0.751126737,0.937131576,14.66566886,0.515829607,1.0625,3,0.823529412,14.84092405,9.849202879,5.459929563,7045,916,17.95173014,0.144005358,1,55.90729396,9074,1685.375,"R4","NoTPO"
"1715",212,16.43361477,18,18,10.46471577,17.25937466,10.14948965,15.6360141,70,212,16,16,15,0.96987724,0.905943257,15.48905965,0.526836442,1.2,1,0.888888889,5.351901252,3.01996488,4.754509866,8444.000004,748,27.46842704,0.243787777,1,92.4525929,2928.796875,488.15625,"R1","NoTPO"
"1716",152,13.91512031,14,14,7.4469636,14.54047484,6.616383785,13.30498599,58,152,14,12,13,0.888467319,0.915031052,15.00209072,0.506246213,1.076923077,1,0.857142857,8.321581122,3.151044967,0.3103958,8421,1547.000004,22.60726994,0.268665491,1,100.1897211,1619.2125,106.60625,"R1","NoTPO"
"1717",224,16.89231537,17,17,13.28893507,17.36581206,10.3160738,16.41424064,70,224,16,14,16,0.776290481,0.945204324,19.95404326,0.504745493,1.0625,1,0.823529412,11.49964101,5.524306398,2.510884241,8410.99984,1234.000025,25.9539115,0.211875843,1,76.50285929,6852.818182,822.6666667,"R4","NoTPO"
"1718",188,15.47547886,16,16,12.27143617,16.36209164,11.48955608,14.74874592,64,188,14,12,14,0.936284549,0.901397342,12.58751032,0.427780056,1.142857143,1,0.75,6.86183504,3.583555538,3.397988742,7044.000008,4279.999985,21.81518854,0.180865007,1,61.85216809,7697.040179,587.2857143,"R4","NoTPO"
"1719",122,12.46651566,13,13,8.098553478,13.10579562,7.092132464,11.84239929,54,122,12,10,12,0.875728299,0.90360018,12.60108415,0.524849131,1.083333333,1,0.769230769,6.853118464,1.781225059,4.41235092,3311.999999,179.999999,19.22438593,0.148247978,1,56.38464535,1527.455357,240.0535714,"R1","NoTPO"
"1720",231,17.15422735,17,17,12.59979788,17.91366911,10.64077134,16.4251892,72,231,18,16,17,0.844519209,0.91690815,16.2361311,0.482781233,1,1,0.941176471,11.11726201,6.379296596,1.826176851,9672.999973,10951.99998,28.44540258,0.277427491,1,108.3765916,5958.946429,386.0178571,"R4","NoTPO"
"1721",166,14.5418351,14,14,11.83194144,14.66916157,10.9696448,14.42010816,60,166,14,14,14,0.927121289,0.983021973,17.52278328,0.393649484,1,1,1,7.245236284,1.322447654,1.349615245,4111.000002,2652.999989,18.91270971,0.147563487,1,52.06107361,3158.633929,234.6071429,"R1","NoTPO"
"1722",136,13.16238609,13,13,7.545726369,13.22938512,7.077802806,13.07731782,56,136,14,12,13,0.937988268,0.988505338,15.57771395,0.498096755,1,1,0.923076923,2.941253849,4.057323063,3.762185669,3297.999949,380.0000038,18.97458048,0.164983165,1,61.73204844,1747.571429,70.21428571,"R1","NoTPO"
