"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region"
"2893",127,12.71941192,13,13,9.608643383,13.83395197,8.27815059,11.90796066,56,127,12,10,12,0.861531671,0.860777939,8.245635896,0.504945088,1.083333333,3,0.769230769,7.653221831,21.46376722,3.473521732,4395.000005,275.9999981,12.76354669,0.114321608,1,39.6516373,5489.571429,3041.651786,"R3+TPO"
"2902",123,12.51750367,13,13,10.54187933,13.16483705,7.890060003,12.07445071,54,123,12,12,12,0.748449091,0.917174338,9.203910841,0.519184106,1.083333333,3,0.923076923,14.15133225,17.15468005,6.132520818,3185.000017,470.00001,10.25757525,0.097686375,1,36.69591428,3290.703704,2017.462963,"R2+TPO"
"3054",150,13.82327033,15,15,10.31661879,15.50110379,8.070677414,12.52837682,62,150,14,6,13,0.782298695,0.80822482,7.609214959,0.523917495,1.153846154,4,0.4,15.36744525,8.830221797,9.83248471,4774,682.000001,16.82870373,0.153342071,1,53.64400391,4374.405172,3162.344828,"R3+TPO"
"3137",187,15.43426579,16,16,11.30871076,16.14488567,10.39363363,14.86320296,66,187,16,14,15,0.9190821,0.920613702,11.93326501,0.630131821,1.066666667,4,0.875,6.143910657,5.703713311,7.526836009,6450,553,8.6727429,0.113908118,1,36.34283535,6342.433594,4327.941406,"R3+TPO"
"3772",126,12.66923653,12,12,9.413629665,13.04245582,7.197415698,12.33616911,52,126,12,12,12,0.764573916,0.945847107,14.0774803,0.503110014,1,1,1,13.04009247,5.950640819,4.556914896,2981,270.9999952,15.1907935,0.12924282,1,46.51897317,2999.5,1738.75,"R2+TPO"
"3830",212,16.43361477,18,18,10.61954946,18.83117361,5.105695862,14.70541156,70,212,12,10,15,0.480782719,0.780907864,7.178685555,0.369012132,1.2,3,0.555555556,35.50437142,18.03419563,7.537566007,9040.000006,1755.999991,12.58131997,0.23620782,1,92.76333148,3625.321429,15945.53571,"R3+TPO"
"4012",125,12.61886163,13,13,7.617795122,12.80331279,6.262579593,12.44142426,54,125,12,10,12,0.822098717,0.971734774,14.58908271,0.584487023,1.083333333,1,0.769230769,13.99833915,4.577567836,4.440875576,4222.999998,641.9999962,11.37769408,0.141646489,1,56.1667825,1913.596591,1101.119318,"R2+TPO"
"4022",130,12.86876434,17,17,9.679682349,18.41112658,4.412797415,9.675314979,62,130,10,6,11,0.455882461,0.525514554,3.293986243,0.438891537,1.545454545,4,0.352941176,48.45390871,27.57922166,30.2734218,3554.000015,1594.999985,3.180362199,0.150668994,1,62.40826688,3763.955882,10265.32721,"R3+TPO"
"4023",156,14.09702503,15,15,9.670325816,14.8740868,9.090601033,13.41161206,60,156,14,12,13,0.940051163,0.901676334,11.77751807,0.545981067,1.153846154,3,0.8,3.558656279,14.19904855,7.734005251,3645.999993,333.9999995,9.96217291,0.106355383,1,35.87521462,7676.428571,2881.178571,"R4+TPO"
"4127",170,14.71599502,16,16,10.23837844,16.02207205,8.207250257,13.51771066,64,170,16,14,13,0.801616223,0.843693039,10.70900858,0.50890891,1.230769231,2,0.875,16.68505552,7.616520463,3.961377158,9405,454,22.03556278,0.17195122,1,65.34633868,10346.89844,6955.46875,"R3+TPO"
"4143",151,13.86927135,14,14,7.625115155,14.34124789,7.046872375,13.40521455,58,151,14,12,13,0.924166027,0.934731388,15.32632388,0.583600673,1.076923077,3,0.857142857,5.544091151,10.12550963,4.782944935,5441.999985,270.9999943,11.68780091,0.137372525,1,57.98468104,2412.053571,1699.339286,"R2+TPO"
"4182",178,15.05827322,15,15,9.596990989,15.50960073,9.211895976,14.71224452,62,178,14,12,14,0.959873359,0.948589508,14.12879761,0.496703806,1.071428571,3,0.8,2.24215714,10.68851763,4.404528137,5797.000002,681.0000014,22.09125074,0.165997323,1,53.22177898,9753.365741,3343.828704,"R4+TPO"
"4255",161,14.32115713,14,14,9.984648993,14.68701091,8.361826995,13.93651722,60,161,14,14,14,0.837468298,0.948900856,17.09268329,0.523505847,1,1,1,6.483830065,4.734872728,2.902241689,4949,376,18.13417787,0.142112125,1,53.70678552,5486.625,2507.9375,"R3+TPO"
"4324",181,15.18463857,15,15,12.73486308,15.78977947,9.565484234,14.61499777,62,181,14,12,14,0.751125801,0.9255986,16.50585758,0.516494807,1.071428571,1,0.8,13.90454919,7.314639039,4.410311619,5968,706.0000002,16.50840515,0.133333333,1,45.09443709,6256.290179,3868.84375,"R3+TPO"
"4577",212,16.43361477,17,17,13.92536041,16.79767641,11.76987643,16.14930262,70,212,16,14,16,0.84521162,0.961400983,14.87085747,0.515616677,1.0625,1,0.823529412,6.370064304,7.294404364,4.26105262,6576.999848,1037.00003,10.4109947,0.115334207,1,42.86945669,7666.428571,5714.928571,"R3+TPO"
"4670",202,16.04134785,16,16,12.08657308,16.71815831,11.23640453,15.41521828,66,202,16,14,15,0.929660082,0.92206438,15.2796136,0.488086737,1.066666667,1,0.875,4.088031519,0.92818949,3.099051952,6700.000025,512.0000067,16.04905622,0.119205298,1,46.05637111,7134.21875,1734.84375,"R4+TPO"
"4957",135,13.11390568,17,17,10.93649376,17.70002087,5.525346222,10.70274835,64,135,10,6,12,0.505220992,0.604674335,3.829811154,0.481619213,1.416666667,4,0.352941176,38.33589315,30.66887211,24.34980105,3742,336.0000002,5.34887799,0.106024096,1,42.19547821,1379.518519,2640.787037,"R2+TPO"
"5070",142,13.44959924,14,14,9.357938682,13.76545433,8.472268378,13.13957196,58,142,14,12,13,0.905356261,0.954532385,14.96050523,0.546141886,1.076923077,4,0.857142857,5.172016658,7.628039328,5.11013491,4463,471.99999,17.17186385,0.141540487,1,50.04219455,2731.571429,1396.142857,"R2+TPO"
"5101",155,14.05176961,14,14,8.160843019,14.5929206,7.34971942,13.54745958,58,155,14,12,13,0.900607866,0.928358343,14.82297267,0.509283712,1.076923077,1,0.857142857,5.915186989,2.811961915,2.460021615,7854.999983,412.0000005,31.45902098,0.222026948,1,82.81179746,3236.53,1897.52,"R2+TPO"
"5107",135,13.11390568,13,13,8.676490581,13.26203157,7.101074563,12.95462165,56,135,14,10,13,0.818427047,0.9768203,14.75759145,0.540435766,1,1,0.769230769,9.5437128,5.843787002,3.265968357,4753.000004,344.9999996,15.50288019,0.138141809,1,51.91180344,2645.916667,1284.611111,"R2+TPO"
"5426",147,13.68433946,14,14,10.508407,14.4605196,7.928650185,13.01569248,58,147,14,12,13,0.754505434,0.900084702,11.83837187,0.528784554,1.076923077,3,0.857142857,13.87062255,15.65951781,0.517279876,5075,509.99998,13.84969356,0.107559926,1,43.89265152,4911.75,3364,"R3+TPO"
"5587",123,12.51750367,13,13,10.41957151,13.45828351,8.533780324,11.81345827,54,123,12,10,12,0.819014516,0.877783431,8.711242176,0.581973482,1.083333333,3,0.769230769,15.95957436,12.59014172,5.286626721,2920.000012,300,5.490424016,0.08659397,1,29.57805816,4451.803571,2175.25,"R2+TPO"
"5612",148,13.73080594,14,14,9.423692887,14.27664333,8.024835164,13.1983225,58,148,14,12,13,0.851559496,0.924469582,14.67507036,0.499509029,1.076923077,4,0.857142857,8.007225851,7.019153506,8.089885983,4188.999988,559.9999976,12.46010706,0.120700438,1,38.11403299,3742.982143,3555.875,"R2+TPO"
"5887",139,13.30676759,14,14,7.934687635,14.06969101,6.797477731,12.56442259,56,139,12,12,12,0.85667868,0.893013399,14.67080568,0.526834896,1.166666667,1,0.857142857,9.120882691,6.445197206,3.08871045,3878.000004,250.9999928,20.45945846,0.183915623,1,70.40145883,1911.189655,629.9655172,"R1+TPO"
"6476",168,14.62917424,16,16,13.1935837,15.96177981,9.464105211,13.44987074,62,168,14,12,13,0.717326348,0.842629763,11.54789404,0.482956489,1.230769231,4,0.75,20.37711296,4.202639728,10.20477227,5620.000001,736.9999976,13.50066088,0.110828025,1,37.35055207,5253.763889,3361.805556,"R3+TPO"
"6497",129,12.81917354,13,13,10.16764838,13.16459096,8.58681345,12.4699923,54,129,12,10,12,0.844523053,0.947237353,15.13107481,0.484588292,1.083333333,1,0.769230769,8.450737499,5.864039555,0.543680384,4516,697,9.912183863,0.084337349,1,37.28110965,4060.647321,7664.75,"R3+TPO"
"6779",201,16.00159228,16,16,12.34379057,16.41005859,11.02357103,15.70614364,68,201,16,14,16,0.893045857,0.957104665,14.30964515,0.513494971,1,3,0.875,4.777988555,9.922279665,1.292352792,7972.999991,1033.000008,8.540386766,0.089508002,1,40.74266746,9911.611607,24141.91071,"R3+TPO"
"6888",127,12.71941192,13,13,6.90337029,13.10414392,5.715439531,12.31101014,54,127,12,10,12,0.827920174,0.939474583,15.37030185,0.592615032,1.083333333,1,0.769230769,9.062353732,2.01315893,1.312571362,4568.000002,252.0000019,13.42456488,0.166073547,1,65.54746437,2714.514423,1283.274038,"R2+TPO"
"7007",505,25.36359797,27,27,22.55730711,27.42729435,15.65182828,23.56222907,108,505,26,24,24,0.693869539,0.8590796,12.64861986,0.483033991,1.125,2,0.888888889,23.18499379,6.702566501,7.23840681,27799,9617.000003,37.7939383,0.28125,1,104.384529,53323.0625,7065.178571,"R4+TPO"
"7074",152,13.91512031,14,14,10.98584507,14.42382035,9.185320886,13.42950505,60,152,14,12,14,0.836105081,0.931064359,13.90071473,0.509830843,1,4,0.857142857,10.21799972,1.77195109,7.928363617,4704.999993,628.0000005,10.85895064,0.107075767,1,38.4404241,5426,2906,"R3+TPO"
"7482",191,15.59846473,21,21,21.11069945,21.73177747,8.496720716,12.0718868,75,191,12,6,13,0.402484093,0.555494681,3.530418028,0.362373109,1.615384615,4,0.285714286,49.50891833,28.49943574,27.9310242,4327.999999,353.9999969,7.561733432,0.06558401,1,28.2041394,2359.629808,2443.091346,"R2+TPO"
"7530",141,13.40215783,13,13,8.026570694,13.38995071,6.742554053,13.38021034,56,141,14,12,13,0.840029237,0.999272561,17.74912038,0.553250456,1,1,0.923076923,8.270973664,2.253070663,1.728971728,6259.000001,459.000005,22.16045858,0.171548117,1,71.51208549,4081.490385,2359.466019,"R2+TPO"
"7534",150,13.82327033,15,15,10.32348682,14.19376458,8.877466346,13.56525555,60,150,14,12,13,0.859929063,0.955719356,11.61955988,0.491032548,1.153846154,4,0.8,12.12595812,10.87679606,15.65149966,3540.000025,515.9999943,7.70975346,0.087198516,1,30.40740845,5493.943548,2403.333333,"R3+TPO"
"7582",201,16.00159228,17,17,11.90798019,17.16926878,11.26403458,15.0766267,68,201,14,12,15,0.945923187,0.878116994,10.74376525,0.468161982,1.133333333,4,0.705882353,4.783559329,9.566027811,8.705069377,6687.00002,1344.999988,16.85163848,0.134089393,1,52.43016267,7335.482143,1162.892857,"R4+TPO"
"7708",282,18.95351336,19,19,16.98160732,19.4533435,14.51535434,18.48344788,78,282,18,18,18,0.854769167,0.950142472,19.56722831,0.451517956,1.055555556,1,0.947368421,7.475248312,4.091043909,3.726687948,13305,5809.000004,28.3385175,0.180051813,1,61.12403684,8344.94697,2115.549242,"R4+TPO"
"7821",144,13.54398355,14,14,8.836584934,13.96696784,7.182762195,13.2194283,60,144,14,12,13,0.812843678,0.946478037,11.82844217,0.571057448,1.076923077,1,0.857142857,12.0256527,6.188999103,4.7639115,4308,299.9999976,17.62080763,0.172093023,1,58.7234241,6258.069444,2503.666667,"R4+TPO"
"7853",166,14.5418351,15,15,10.27691687,15.0205787,6.854952778,14.06533024,62,166,14,14,14,0.667024251,0.936404017,15.84539945,0.486896496,1.071428571,2,0.933333333,20.78049712,9.386968367,4.750169213,6577.000006,1951.999994,24.13882182,0.187648456,1,75.23670491,3459.37963,2394.541667,"R2+TPO"
"7958",171,14.7592139,14,14,11.00862844,15.00349152,9.466928777,14.54329387,60,171,14,14,14,0.859955336,0.969327296,17.27660326,0.53280984,1,1,1,8.028225067,4.118108495,2.514380522,6344.000053,669.0000381,23.1926841,0.146529563,1,55.85065301,5982.716346,3438.870192,"R3+TPO"
